Name;Nickname;Country;MC1;DP1;GV1;BC1;MC2;CI1;GV2;DP2;BC2;MC3;KB1;CI2;VL1;BC3;MC4;DP3;KB2;GV3;VL2;RR;Total Time;Year;Phase;Position;Final Phase Tracks;Tracks Position;Points 2019;Points 2018;Points 2017;Points 2016;Points 2015;Points 2014;Points 2013;Points 2012
Adam Ferguson;Kepl3r;UK;1:02,16;1:23,24;1:08,93;1:40,33;1:20,09;0:58,08;1:04,99;1:29,64;1:48,27;1:41,07;1:03,89;1:08,57;1:01,09;1:37,37;1:39,97;1:26,30;1:02,38;1:26,92;0:58,00;1:31,97;26:33,26;2019;Group Stage;13;-;0;745;0;0;0;0;0;0;0
Aron Langerak;Masterpie9;NL;1:01,65;1:14,00;1:08,83;1:39,91;1:19,50;1:08,79;1:04,49;1:39,02;1:50,66;1:40,51;1:07,12;1:08,21;1:04,73;1:41,45;1:52,49;1:31,04;1:16,17;1:30,10;1:20,03;1:31,59;27:50,29;2019;Group Stage;20;-;0;410;0;0;0;0;0;0;0
Chris Clark;Zarkov;UK;1:02,32;1:20,07;1:08,87;1:35,40;1:22,44;1:07,32;1:05,07;1:34,30;1:49,86;1:39,91;1:00,93;1:17,76;1:05,43;1:51,85;1:45,33;1:26,84;1:08,05;1:27,69;1:14,64;1:33,72;27:37,80;2019;Group Stage;21;-;0;408;0;0;0;0;0;0;0
Christian Wild;Chraizy;GER;1:01,41;1:13,80;1:08,09;1:30,12;1:18,94;1:02,96;1:03,50;1:27,04;1:46,96;1:31,38;1:00,91;1:08,23;0:58,76;1:51,12;1:39,57;1:21,05;1:03,60;1:24,61;1:04,57;1:29,19;26:05,81;2019;Group Stage;7;-;0;1002;0;0;0;0;0;0;0
Christopher Barker;Yorkshire SMK;UK;1:01,82;1:22,96;1:08,33;1:42,80;1:20,17;1:03,54;1:08,53;1:31,87;1:57,68;1:36,45;1:04,77;1:16,75;1:04,59;2:01,01;1:44,73;1:26,32;1:07,06;1:27,61;1:14,78;1:31,06;27:52,83;2019;Group Stage;18;-;0;420;0;0;0;0;0;0;0
Come Legendre;Kusumer;FR;1:08,11;1:29,11;1:11,97;1:44,19;1:29,01;1:11,46;1:09,82;1:55,99;1:56,39;1:54,30;1:17,00;1:25,21;1:12,87;2:22,28;1:59,91;1:50,02;1:16,53;1:40,55;1:20,13;2:24,63;31:59,48;2019;Group Stage;35;-;0;127;0;0;0;0;0;0;0
Conor Wood;Shadow SMK;UK;1:02,34;1:21,82;1:08,63;1:34,06;1:22,36;1:03,42;1:04,95;1:33,19;1:56,25;1:36,39;1:03,06;1:16,75;1:00,99;1:48,69;1:46,16;1:26,38;1:07,44;1:25,07;1:00,83;1:30,68;27:09,46;2019;Group Stage;15;-;0;569;0;0;0;0;0;0;0
Daniel Guemy;FFVIMan;FR;1:05,33;1:28,97;1:14,20;1:47,34;1:25,82;1:07,71;1:08,77;1:47,53;1:58,72;1:44,95;1:15,79;1:24,59;1:15,79;1:59,49;1:55,45;1:42,54;1:15,16;1:43,00;1:26,32;1:37,96;30:25,43;2019;Group Stage;32;-;0;171;0;0;0;0;0;0;0
David Moll;Danger Moll;UK;1:06,54;1:18,12;1:12,97;1:40,69;1:26,54;1:06,82;1:07,87;1:37,01;2:00,41;1:45,88;1:05,82;1:18,84;1:01,25;1:45,62;1:44,69;1:35,57;1:06,30;1:27,85;1:17,17;1:52,75;28:38,71;2019;Group Stage;27;-;0;306;0;0;0;0;0;0;0
David Senior;Chum;AUS;1:02,60;1:22,96;1:08,73;1:36,03;1:20,87;1:04,67;1:05,15;1:42,94;1:49,78;1:42,44;1:03,68;1:22,56;1:02,04;1:47,69;1:52,37;1:30,96;1:12,03;1:39,81;1:08,65;1:46,64;28:22,60;2019;Group Stage;22;-;0;363;0;0;0;0;0;0;0
